Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
3127,Keisuke HAYASHI,24/12/1996,JPN,15f12,Kawasaki (JPN),24/11/2018,1071,22.0,2018,2010-2019,20-25,28:40:11,1720.11
3128,Willy VAN HUYLENBROECK,21/06/1956,BEL,2,Bruxelles (BEL),08/08/1982,1071,26.0,1982,1980-1989,26-30,28:40:12,1720.12
3128,Don SAGE,05/10/1981,USA,3,"Palo Alto, CA (USA)",29/03/2002,1071,21.0,2002,2000-2009,20-25,28:40:12,1720.12
3130,Glen STEWART,07/12/1970,GBR,4,Watford (GBR),09/06/2001,1071,31.0,2001,2000-2009,31-35,28:40:14,1720.14
3131,Ranieri CARENZA,04/02/1963,ITA,1,Martigny (SUI),03/06/1990,1071,27.0,1990,1990-1999,26-30,28:40:15,1720.15
3132,Manfred SCHÖENEBERG,06/04/1954,GER,9,Koblenz (GER),27/08/1980,1071,26.0,1980,1980-1989,26-30,28:40:16,1720.16
3133,Christian GLATTING,28/12/1986,GER,1,Ohrdruf (GER),01/05/2010,1071,23.0,2010,2010-2019,20-25,28:40:18,1720.18
3134,Gerry LINDGREN,09/03/1946,USA,2,Düsseldorf (GER),17/08/1967,1071,21.0,1967,1960-1969,20-25,28:40:2,1720.2
3134,Peteris KAIRO,31/08/1954,URS,7,Donetsk (URS),06/09/1980,1071,26.0,1980,1980-1989,26-30,28:40:2,1720.2
3136,Giuseppe DENTI,11/08/1960,ITA,7,Firenze (ITA),28/05/1986,1071,26.0,1986,1980-1989,26-30,28:40:20,1720.2
3136,Kevin HERD,01/01/1971,USA,19,"Walnut, CA (USA)",21/04/1996,1071,25.0,1996,1990-1999,20-25,28:40:20,1720.2
3136,Eduardo José CARRASCO,10/07/1968,CHI,1,Santiago de Chile (CHI),11/10/1997,1071,29.0,1997,1990-1999,26-30,28:40:20,1720.2
3137,Edwin KIBET KOECH,15/05/1983,KEN,2,Nairobi (KEN),04/06/2004,1071,21.0,2004,2000-2009,20-25,28:40:2,1720.2
3137,Joseph KIPTANUI,nan,KEN,7,Nairobi (KEN),06/06/2009,1071,,2009,2000-2009,40+,28:40:2,1720.2
3138,Taketo KUMAZAKI,15/05/1992,JPN,4f16,Tokyo (JPN),23/11/2013,1071,22.0,2013,2010-2019,20-25,28:40:20,1720.2
3142,Akira MANAI,01/09/1971,JPN,9,Fukuoka (JPN),10/05/1997,1071,27.0,1997,1990-1999,26-30,28:40:21,1720.21
3143,Greg JIMMERSON,01/02/1975,USA,8,"Walnut, CA (USA)",14/04/2000,1071,25.0,2000,2000-2009,20-25,28:40:25,1720.25
3143,Yoshinori SUZUKI,14/04/1980,JPN,11,Yokohama (JPN),20/10/2007,1071,28.0,2007,2000-2009,26-30,28:40:25,1720.25
3145,Aleksey ALEKSANDROV,04/04/1984,RUS,1,Zhukovskiy (RUS),14/07/2007,1071,23.0,2007,2000-2009,20-25,28:40:26,1720.26
3146,Naoto KOMATSU,02/02/1978,JPN,3,Konosu (JPN),04/10/1997,1071,19.0,1997,1990-1999,0-19,28:40:27,1720.27
3146,Akinori SHIBUTANI,05/12/1977,JPN,28,Kobe (JPN),24/04/2005,1071,28.0,2005,2000-2009,26-30,28:40:27,1720.27
3148,Makoto SASAKI,12/02/1972,JPN,1,Sendai (JPN),20/05/1995,1071,22.0,1995,1990-1999,20-25,28:40:30,1720.3
3149,Yoshinori YOKOTA,30/01/1968,JPN,2,Yokohama (JPN),07/12/1997,1071,29.0,1997,1990-1999,26-30,28:40:3,1720.3
3149,Takuro MIURA,04/12/1999,JPN,5,"Chuo University Stadium, Hachioji (JPN)",08/03/2020,1071,21.0,2020,2020+,20-25,28:40:30,1720.3
3151,Akira SAKEMI,09/08/1970,JPN,1,Kumamoto (JPN),15/05/1993,1071,23.0,1993,1990-1999,20-25,28:40:32,1720.32
3151,Adam SUTTON,22/03/1981,GBR,7,"Walnut, CA (USA)",19/04/2002,1071,21.0,2002,2000-2009,20-25,28:40:32,1720.32
3151,Shea FOSTER,nan,USA,1,"Columbia International University, Columbia, SC (USA)",12/12/2020,1071,,2020,2020+,40+,28:40:32,1720.32
3154,Ali Ismael HASSAN,05/12/1966,DJI,6,St-Maur (FRA),10/06/1992,1071,26.0,1992,1990-1999,26-30,28:40:35,1720.35
3155,Solomon BUSIENEI,01/01/1984,KEN,1,Réduit (MRI),16/08/2001,1070,18.0,2001,2000-2009,0-19,28:40:36,1720.36
3155,Daiki SUZAKI,26/01/1996,JPN,7f1,Yokohama (JPN),21/04/2018,1070,22.0,2018,2010-2019,20-25,28:40:36,1720.36
3157,Philipp PFLIEGER,16/07/1987,GER,5f1,Leiden (NED),14/06/2014,1070,27.0,2014,2010-2019,26-30,28:40:39,1720.39
3158,Hans MUNZINGER,29/10/1942,GER,5,Koblenz (GER),24/06/1970,1070,28.0,1970,1970-1979,26-30,28:40:4,1720.4
3158,Aleksey ROMANYUK,04/02/1954,URS,1,Kirovograd (URS),13/06/1980,1070,26.0,1980,1980-1989,26-30,28:40:4,1720.4
3160,Eric DE BECK,06/06/1951,BEL,10,Koblenz (GER),27/08/1980,1070,29.0,1980,1980-1989,26-30,28:40:40,1720.4
3160,Michichiko NARITA,06/02/1956,JPN,3,Maebashi (JPN),26/04/1987,1070,31.0,1987,1980-1989,31-35,28:40:40,1720.4
3160,Andrew LIMO,15/03/1984,KEN,2,Nairobi (KEN),17/06/2002,1070,18.0,2002,2000-2009,0-19,28:40:4,1720.4
3161,Kohei MUKAI,30/01/1996,JPN,1f1,"Yashima Rexxam Field, Takamatsu (JPN)",11/10/2020,1070,25.0,2020,2020+,20-25,28:40:40,1720.4
3164,Makoto OTSU,18/02/1969,JPN,10,Kita-Kyushu (JPN),09/05/2004,1070,36.0,2004,2000-2009,36-41,28:40:41,1720.41
3164,William MILAM,03/02/1992,USA,7f2,"Torrance, CA (USA)",18/04/2019,1070,27.0,2019,2010-2019,26-30,28:40:41,1720.41
3166,Cyriaqu NDAYIKENGURUKIYE,10/03/1990,RWA,13,"Hampden Park, Glasgow (GBR)",01/08/2014,1070,23.0,2014,2010-2019,20-25,28:40:44,1720.44
3167,Nobuhiko ABE,12/09/1979,JPN,6,Isahaya (JPN),27/11/2004,1070,25.0,2004,2000-2009,20-25,28:40:45,1720.45
3168,Thomas GREGER,24/08/1972,GER,3,Troisdorf (GER),24/08/1996,1070,24.0,1996,1990-1999,20-25,28:40:46,1720.46
3169,Mikhail KRIVONOS,13/06/1955,URS,1,Kiev (URS),31/08/1981,1070,26.0,1981,1980-1989,26-30,28:40:5,1720.5
3169,Jed HOPFSENBERGER,22/12/1957,USA,1,"Knoxville, TN (USA)",13/04/1984,1070,26.0,1984,1980-1989,26-30,28:40:5,1720.5
3171,Hiroki YAMAGISHI,06/09/1991,JPN,3f4,Saitama (JPN),28/04/2013,1070,22.0,2013,2010-2019,20-25,28:40:50,1720.5
3171,Yuji NAKAMURA,06/09/1989,JPN,23f1,Abashiri (JPN),16/07/2015,1070,26.0,2015,2010-2019,26-30,28:40:50,1720.5
3173,Abreha HADISH,01/01/1973,ETH,1,Algiers (ALG),11/07/2000,1070,28.0,2000,2000-2009,26-30,28:40:51,1720.51
3174,Takeshi YAMAMOTO,01/08/1973,JPN,12f3,Fukuroi (JPN),18/10/2008,1070,36.0,2008,2000-2009,36-41,28:40:54,1720.54
3174,Brian MEDIGOVICH,16/09/1987,USA,23f1,"Palo Alto, CA (USA)",01/05/2010,1070,22.0,2010,2010-2019,20-25,28:40:54,1720.54
3176,Gavin THOMPSON,09/04/1980,GBR,2,Watford (GBR),11/06/2005,1070,25.0,2005,2000-2009,20-25,28:40:58,1720.58
3176,Ryusei TAKAHASHI,08/03/1995,JPN,1f2,Kitami (JPN),07/07/2018,1070,23.0,2018,2010-2019,20-25,28:40:58,1720.58
3178,Marc RUELL,19/08/1958,BEL,6,Bruxelles (BEL),24/08/1984,1070,26.0,1984,1980-1989,26-30,28:40:59,1720.59
3178,Alec SANDUSKY,nan,USA,3,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",02/04/2021,1070,,2021,2020+,40+,28:40:59,1720.59
3180,Fernando FERNÁNDEZ,20/10/1944,ESP,3,Aarhus (DEN),26/06/1972,1070,28.0,1972,1970-1979,26-30,28:40:6,1720.6
3180,Philip WATSON,11/08/1951,NZL,2,Christchurch (NZL),30/11/1973,1070,22.0,1973,1970-1979,20-25,28:40:6,1720.6
3182,Anios PHELEPHE,21/06/1965,RSA,3,Stellenbosch (RSA),10/04/1987,1070,22.0,1987,1980-1989,20-25,28:40:60,1720.6
3181,Erick WAINAINA,19/12/1973,KEN,5,Tokyo (JPN),29/05/1998,1070,24.0,1998,1990-1999,20-25,28:40:6,1720.6
3184,Kenji KUBO,01/05/1975,JPN,12,Yokohama (JPN),26/11/2005,1070,31.0,2005,2000-2009,31-35,28:40:62,1720.62
3184,Christian RICKETTS,nan,USA,4,"Hayward Field, Eugene, OR (USA)",02/04/2021,1070,,2021,2020+,40+,28:40:62,1720.62
3186,Frank POWERS,25/10/1961,USA,2,"Eugene, OR (USA)",02/07/1988,1070,26.0,1988,1980-1989,26-30,28:40:63,1720.63
3187,David RUSH,17/01/1965,NZL,1,Christchurch (NZL),28/01/1989,1070,24.0,1989,1980-1989,20-25,28:40:66,1720.66
3187,Shadrack KIPLIMO KEMBOI,01/01/1967,KEN,4,Troisdorf (GER),24/08/1996,1070,30.0,1996,1990-1999,26-30,28:40:66,1720.66
3189,Abderrahim EL ASRI,10/07/1982,MAR,6,Casablanca (MAR),14/06/2009,1070,27.0,2009,2000-2009,26-30,28:40:7,1720.7
3190,Toru OKADA,22/04/1978,JPN,17f3,Kita-Kyushu (JPN),17/05/2008,1070,30.0,2008,2000-2009,26-30,28:40:74,1720.74
3191,Nicholas BRAWN,23/02/1957,GBR,5,London (GBR),05/09/1980,1070,23.0,1980,1980-1989,20-25,28:40:76,1720.76
3192,Yokinobu NAKAZAKI,04/04/1979,JPN,5,Konosu (JPN),30/09/2000,1070,21.0,2000,2000-2009,20-25,28:40:77,1720.77
3193,Seiichiro SASAKI,02/09/1945,JPN,1,Helsinki (FIN),27/06/1968,1070,23.0,1968,1960-1969,20-25,28:40:8,1720.8
3193,Dietmar NAGEL,04/08/1945,GER,2,Leipzig (GER),02/05/1971,1070,26.0,1971,1970-1979,26-30,28:40:8,1720.8
3193,Jerzy GROS,21/02/1945,POL,3,Bydgoszcz (POL),29/07/1977,1070,32.0,1977,1970-1979,31-35,28:40:8,1720.8
3196,Marc HUNTER,05/03/1956,USA,5,"Walnut, CA (USA)",17/06/1979,1070,23.0,1979,1970-1979,20-25,28:40:80,1720.8
3196,Teddy MITCHELL,22/02/1972,USA,20,"Walnut, CA (USA)",21/04/1996,1070,24.0,1996,1990-1999,20-25,28:40:80,1720.8
3196,Kikuo OZAWA,14/10/1974,JPN,17,Hachioji (JPN),28/11/2001,1070,27.0,2001,2000-2009,26-30,28:40:80,1720.8
3196,Charles WACHIRA MAINA,11/10/1982,KEN,4,Nairobi (KEN),28/05/2010,1070,28.0,2010,2010-2019,26-30,28:40:8,1720.8
3200,Shangxuan JIU,15/02/1962,CHN,1,Beijing (CHN),13/09/1993,1070,32.0,1993,1990-1999,31-35,28:40:81,1720.81
3201,Gheorge MOTORCA,30/11/1955,ROU,3,Athina (GRE),07/09/1984,1070,29.0,1984,1980-1989,26-30,28:40:82,1720.82
3201,Jean Philippe VINDEX,06/11/1969,FRA,6,Watford (GBR),09/06/2001,1070,32.0,2001,2000-2009,31-35,28:40:82,1720.82
3203,Ben MOREAU,15/12/1981,GBR,3,Melbourne (AUS),08/12/2012,1070,31.0,2012,2010-2019,31-35,28:40:83,1720.83
3204,Phil NICHOLLS,29/09/1983,GBR,1,Watford (GBR),30/06/2007,1070,24.0,2007,2000-2009,20-25,28:40:85,1720.85
3205,Aaron DINZEO,17/12/1991,USA,4f1,"Palo Alto, CA (USA)",04/04/2014,1070,22.0,2014,2010-2019,20-25,28:40:88,1720.88
3206,Yasumasa TAKEI,19/06/1972,JPN,6,Tokyo (JPN),29/05/1998,1070,26.0,1998,1990-1999,26-30,28:40:9,1720.9
3207,Adam MOTLAGALE,06/03/1961,RSA,2,Port Elizabeth (RSA),18/12/1991,1070,31.0,1991,1990-1999,31-35,28:40:93,1720.93
3208,Tomotsugu YAMAUCHI,04/05/1976,JPN,4,Konosu (JPN),04/10/1997,1070,21.0,1997,1990-1999,20-25,28:40:94,1720.94
3208,Cosimo CALIANDRO,11/03/1982,ITA,1f1,Sosnowiec (POL),02/05/2010,1070,27.0,2010,2010-2019,26-30,28:40:94,1720.94
3210,Phillip ELLIS,11/10/1967,CAN,5,Burnaby (CAN),10/06/1990,1070,23.0,1990,1990-1999,20-25,28:40:95,1720.95
3211,Ahmed JABER,29/12/1983,QAT,14,Neerpelt (BEL),05/06/2006,1070,22.0,2006,2000-2009,20-25,28:40:96,1720.96
3211,Asuka TANAKA,05/11/1989,JPN,6,Yokohama (JPN),18/04/2010,1070,21.0,2010,2010-2019,20-25,28:40:96,1720.96
3213,Bill TAYLOR,23/06/1966,USA,7,"Dedham, MA (USA)",18/05/1991,1070,25.0,1991,1990-1999,20-25,28:40:98,1720.98
3214,Risto ALA-KORPI,18/08/1950,FIN,3,Helsinki (FIN),22/05/1974,1070,24.0,1974,1970-1979,20-25,28:41:0,1721.0
3214,Dariusz KRUCZKOWSKI,04/05/1975,POL,1,Bydgoszcz (POL),29/06/2001,1070,26.0,2001,2000-2009,26-30,28:41:0,1721.0
3214,Hicham LAMALEM,04/04/1979,MAR,1,Burjassot (ESP),22/03/2003,1070,24.0,2003,2000-2009,20-25,28:41:0,1721.0
3214,Josphat Too MOSONIK,07/02/2006,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",05/03/2020,1070,14.0,2020,2020+,0-19,28:41:0,1721.0
3218,Rory FRASER,25/04/1987,GBR,16f2,"Palo Alto, CA (USA)",01/05/2011,1070,24.0,2011,2010-2019,20-25,28:41:01,1721.01
3219,Shun HASHIMOTO,26/09/1993,JPN,7,Yokohama (JPN),12/11/2016,1069,23.0,2016,2010-2019,20-25,28:41:02,1721.02
3220,Ahmed OSMAN,01/01/1988,USA,24f2,"Palo Alto, CA (USA)",29/04/2012,1069,24.0,2012,2010-2019,20-25,28:41:04,1721.04
3221,Arata FUJIWARA,12/09/1981,JPN,1f2,Fugokawa (JPN),10/06/2009,1069,28.0,2009,2000-2009,26-30,28:41:05,1721.05
3222,Aniceto SIMOES,08/09/1945,POR,4,Paris (FRA),17/07/1980,1069,35.0,1980,1980-1989,31-35,28:41:11,1721.11
3222,Jeff DRENTH,30/06/1961,USA,2,"Knoxville, TN (USA)",13/04/1984,1069,23.0,1984,1980-1989,20-25,28:41:11,1721.11
3222,Daisuke KOBAYASHI,nan,JPN,18,Hachioji (JPN),28/11/2001,1069,,2001,2000-2009,40+,28:41:11,1721.11
3225,Daisuke KOYAMA,29/08/1987,JPN,18f5,"Hosei University Stadium, Machida (JPN)",25/11/2017,1069,30.0,2017,2010-2019,26-30,28:41:12,1721.12
3226,Lawrence KIPKOECH,nan,KEN,4,"Raleigh, NC (USA)",29/03/2019,1069,,2019,2010-2019,40+,28:41:19,1721.19
3227,Frank BRISCOE,06/08/1947,GBR,1,London (GBR),17/04/1974,1069,27.0,1974,1970-1979,26-30,28:41:2,1721.2
3227,Jean-Marie CONRATH,11/04/1952,FRA,5,Orléans (FRA),10/08/1979,1069,27.0,1979,1970-1979,26-30,28:41:2,1721.2
3229,Patrick MABITSELA,23/09/1955,RSA,4,Stellenbosch (RSA),20/04/1981,1069,26.0,1981,1980-1989,26-30,28:41:20,1721.2
3229,Vicente POLO,21/10/1955,ESP,3,San Sebastián (ESP),29/08/1987,1069,32.0,1987,1980-1989,31-35,28:41:20,1721.2
3231,Aleksandr MOKRINSKIY,01/02/1958,URS,2,Kharkov (URS),28/05/1983,1069,25.0,1983,1980-1989,20-25,28:41:22,1721.22
3231,Erick Israel PEREZ,17/11/1983,MEX,3,"Walnut, CA (USA)",14/04/2011,1069,27.0,2011,2010-2019,26-30,28:41:22,1721.22
3233,Ryan RUTHERFORD,02/07/1992,USA,5f1,"Palo Alto, CA (USA)",04/04/2014,1069,22.0,2014,2010-2019,20-25,28:41:23,1721.23
3234,Toru SAKASAI,01/01/1981,JPN,11,Hitachinaka (JPN),14/05/2005,1069,24.0,2005,2000-2009,20-25,28:41:24,1721.24
3235,Philemon MAIYO,23/08/1964,KEN,1,Jyväskylä (FIN),08/06/1996,1069,32.0,1996,1990-1999,31-35,28:41:25,1721.25
3236,Stephan SHAY,11/02/1986,USA,4,"Berkeley, CA (USA)",23/04/2010,1069,23.0,2010,2010-2019,20-25,28:41:27,1721.27
3237,Mitsutoshi KAWASAKI,20/09/1972,JPN,3f1,Hachioji (JPN),27/11/1994,1069,22.0,1994,1990-1999,20-25,28:41:3,1721.3
3237,Kanji MORISO,27/06/1974,JPN,1,Hachioji (JPN),26/11/1995,1069,21.0,1995,1990-1999,20-25,28:41:3,1721.3
3239,Connor WEAVER,nan,USA,5,"Hayward Field, Eugene, OR (USA)",02/04/2021,1069,,2021,2020+,40+,28:41:30,1721.3
3240,Kiyoshi MANAKO,27/09/1978,JPN,15,Yokohama (JPN),03/12/2000,1069,21.0,2000,2000-2009,20-25,28:41:35,1721.35
3240,Yoshikazu KUBO,18/02/1984,JPN,31,Kobe (JPN),24/04/2005,1069,21.0,2005,2000-2009,20-25,28:41:35,1721.35
3242,Akiyuki IWANAGA,28/09/1980,JPN,18f3,Kita-Kyushu (JPN),17/05/2008,1069,28.0,2008,2000-2009,26-30,28:41:36,1721.36
3242,Filmon GHIRMAI,25/01/1979,GER,2,Ohrdruf (GER),01/05/2010,1069,31.0,2010,2010-2019,31-35,28:41:36,1721.36
3242,Kazuyoshi CHIBA,24/06/1991,JPN,10f15,Yokohama (JPN),02/12/2017,1069,26.0,2017,2010-2019,26-30,28:41:36,1721.36
3245,Kemal KOYUNCU,25/01/1985,TUR,17,Neerpelt (BEL),02/06/2007,1069,22.0,2007,2000-2009,20-25,28:41:37,1721.37
3245,Tadesse ABRAHAM,12/08/1982,SUI,4f1,Chia (ITA),06/06/2015,1069,32.0,2015,2010-2019,31-35,28:41:37,1721.37
3247,Anthony KIPRONO,02/06/1973,KEN,8,Sheffield (GBR),05/06/1992,1069,19.0,1992,1990-1999,0-19,28:41:38,1721.38
3247,Yuki TANAKA,14/12/1981,JPN,9,Kita-Kyushu (JPN),13/05/2006,1069,24.0,2006,2000-2009,20-25,28:41:38,1721.38
3247,Scott BEATTIE,04/12/1998,GBR,6,"Hayward Field, Eugene, OR (USA)",02/04/2021,1069,23.0,2021,2020+,20-25,28:41:38,1721.38
3250,George MOSWEU,16/08/1948,BOT,3,Cape Town (RSA),29/03/1975,1069,27.0,1975,1970-1979,26-30,28:41:4,1721.4
3250,Gary HOFSTETTER,26/02/1958,USA,5f2,"Philadelphia, PA (USA)",22/04/1982,1069,24.0,1982,1980-1989,20-25,28:41:4,1721.4
3250,Joel HERNÁNDEZ,01/01/1974,MEX,11,Barakaldo (ESP),08/07/2000,1069,27.0,2000,2000-2009,26-30,28:41:4,1721.4
3253,Adam WALLACE,16/04/1980,USA,6,"Palo Alto, CA (USA)",28/03/2003,1069,23.0,2003,2000-2009,20-25,28:41:40,1721.4
3254,Shota HIRAGA,10/04/1990,JPN,6,Shibetsu (JPN),20/06/2010,1069,20.0,2010,2010-2019,20-25,28:41:42,1721.42
3255,Juan DÍAZ,11/07/1965,VEN,8,"Walnut, CA (USA)",19/04/1997,1069,31.0,1997,1990-1999,31-35,28:41:43,1721.43
3255,Ryota KOMORI,30/08/1997,JPN,4f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1069,23.0,2020,2020+,20-25,28:41:43,1721.43
3257,Kazutoshi TAKATSUKA,08/08/1976,JPN,9,Yokohama (JPN),30/11/2002,1069,26.0,2002,2000-2009,26-30,28:41:47,1721.47
3258,Michael CHEROP,04/07/1995,UGA,3,Kampala (UGA),22/07/2011,1069,16.0,2011,2010-2019,0-19,28:41:48,1721.48
3259,Pete PFITZINGER,29/08/1957,USA,1,"Dedham, MA (USA)",10/05/1986,1069,29.0,1986,1980-1989,26-30,28:41:50,1721.5
3260,Takeshi SATO,04/02/1976,JPN,3,Yokohama (JPN),07/12/1997,1069,21.0,1997,1990-1999,20-25,28:41:5,1721.5
3261,Agapius MASONG,12/04/1960,TAN,13,Firenze (ITA),13/06/1984,1069,24.0,1984,1980-1989,20-25,28:41:55,1721.55
3262,Joe BOSSHARD,30/10/1989,USA,8,"Des Moines, IA (USA)",10/06/2011,1069,22.0,2011,2010-2019,20-25,28:41:56,1721.56
3263,Stan VERNON,15/08/1955,USA,5,"Austin, TX (USA)",03/04/1980,1069,25.0,1980,1980-1989,20-25,28:41:60,1721.6
3264,Takayuki NISHIDA,26/04/1977,JPN,6,Kanagawa (JPN),06/12/1998,1069,21.0,1998,1990-1999,20-25,28:41:6,1721.6
3264,Alan N'DIWA,01/01/1984,KEN,3,Kakamega (KEN),24/06/2006,1069,22.0,2006,2000-2009,20-25,28:41:60,1721.6
3266,Rafael IGLESIAS,05/07/1979,ESP,4f1,Oslo (NOR),04/06/2011,1069,32.0,2011,2010-2019,31-35,28:41:61,1721.61
3267,Emerson ISER BEM,07/07/1973,BRA,3,Sao José do Rio Preto (BRA),21/06/1996,1069,23.0,1996,1990-1999,20-25,28:41:63,1721.63
3268,Tim HACKER,27/12/1962,USA,11,"Walnut, CA (USA)",14/04/1995,1069,32.0,1995,1990-1999,31-35,28:41:64,1721.64
3269,Chris CLARK,01/01/1985,USA,2,"Bloomington, IN (USA)",29/10/2011,1069,27.0,2011,2010-2019,26-30,28:41:65,1721.65
3270,Oleg KULKOV,06/03/1978,RUS,3,Zhukovskiy (RUS),14/07/2007,1069,29.0,2007,2000-2009,26-30,28:41:68,1721.68
3271,Isaac MUKUNDI,01/01/1987,KEN,1f2,Nakuru (KEN),17/04/2015,1068,28.0,2015,2010-2019,26-30,28:41:7,1721.7
3271,Hillary MOSOP,16/12/1999,KEN,1f1,"Sports Complex, Mumias (KEN)",24/05/2019,1068,19.0,2019,2010-2019,0-19,28:41:7,1721.7
3273,Brian FAY,09/11/1998,IRL,2f1,"Mary Peters Track, Belfast (GBR)",19/12/2020,1068,22.0,2020,2020+,20-25,28:41:70,1721.7
3274,Toshio WATANABE,03/02/1963,JPN,8,Kobe (JPN),30/04/1989,1068,26.0,1989,1980-1989,26-30,28:41:72,1721.72
3274,David DE MACEDO,07/05/1984,BRA,2,São Paulo (BRA),03/08/2011,1068,27.0,2011,2010-2019,26-30,28:41:72,1721.72
3274,David ROONEY,30/03/1988,IRL,6f1,"Palo Alto, CA (USA)",04/04/2014,1068,26.0,2014,2010-2019,26-30,28:41:72,1721.72
3277,Eric BIYASE,09/02/1977,RSA,6,Port Elizabeth (RSA),25/02/2000,1068,22.0,2000,2000-2009,20-25,28:41:73,1721.73
3277,Kenji TAKEUCHI,21/09/1981,JPN,19f3,Kita-Kyushu (JPN),17/05/2008,1068,27.0,2008,2000-2009,26-30,28:41:73,1721.73
3279,Guy BOURBAN,18/05/1955,FRA,2,St-Maur (FRA),28/09/1977,1068,22.0,1977,1970-1979,20-25,28:41:8,1721.8
3279,Isaac CHEMOBWO KIPKOECH,25/10/1973,KEN,3,Nairobi (KEN),10/05/1997,1068,24.0,1997,1990-1999,20-25,28:41:8,1721.8
3281,Javier CABALLERO,24/03/1972,ESP,11,Pontevedra (ESP),14/06/1997,1068,25.0,1997,1990-1999,20-25,28:41:80,1721.8
3280,Gianni CREPALDI,19/10/1968,ITA,2,Rubiera (ITA),10/04/1999,1068,31.0,1999,1990-1999,31-35,28:41:8,1721.8
3283,David HOLT,18/05/1944,GBR,4,London (GBR),15/07/1972,1068,28.0,1972,1970-1979,26-30,28:41:82,1721.82
3284,Ethan SHAW,12/03/1990,USA,7f1,"Palo Alto, CA (USA)",04/04/2014,1068,23.0,2014,2010-2019,20-25,28:41:86,1721.86
3285,Juma NINGA,12/11/1974,TAN,3,"Deveti Septemvri Stadium, Plovdiv (BUL)",08/08/1990,1068,16.0,1990,1990-1999,0-19,28:41:90,1721.9
3286,José Antonio RAMALLO,24/09/1976,ESP,2,Burjassot (ESP),22/03/2003,1068,26.0,2003,2000-2009,26-30,28:41:9,1721.9
3286,Musa ROBA-KINKAL,16/08/1989,GER,3,Ohrdruf (GER),01/05/2010,1068,20.0,2010,2010-2019,20-25,28:41:90,1721.9
3286,Tomasz SZYMKOWIAK,05/07/1983,POL,2f1,Sosnowiec (POL),02/05/2010,1068,27.0,2010,2010-2019,26-30,28:41:90,1721.9
3289,Tsuguo MACHIDA,09/02/1973,JPN,4,Shizuoka (JPN),16/10/1999,1068,26.0,1999,1990-1999,26-30,28:41:94,1721.94
3289,Matt YOUNG,16/09/1998,USA,7,"Hayward Field, Eugene, OR (USA)",02/04/2021,1068,22.0,2021,2020+,20-25,28:41:94,1721.94
3291,Michael EATON,09/06/1987,USA,2,"Walnut, CA (USA)",17/04/2008,1068,21.0,2008,2000-2009,20-25,28:41:96,1721.96
3292,Tim RACKERS,07/03/1993,USA,4f1,"San Francisco, CA (USA)",28/03/2019,1068,26.0,2019,2010-2019,26-30,28:41:97,1721.97
3293,Dmitriy KAPITANOV,15/05/1968,RUS,3,St. Petersburg (RUS),30/06/1995,1068,27.0,1995,1990-1999,26-30,28:41:98,1721.98
3293,Jaouad TOUGANE,10/01/1989,MAR,1,Lisboa (POR),12/06/2016,1068,27.0,2016,2010-2019,26-30,28:41:98,1721.98
3295,Steve BOYD,17/09/1963,CAN,8,"Philadelphia, PA (USA)",23/04/1992,1068,29.0,1992,1990-1999,26-30,28:41:99,1721.99
3296,Richard WEDLOCK,26/01/1946,GBR,2,Edinburgh (GBR),05/06/1970,1068,24.0,1970,1970-1979,20-25,28:42:0,1722.0
3296,Werner GIRKE,04/09/1940,FRG,4,Eschweiler (FRG),02/06/1972,1068,32.0,1972,1970-1979,31-35,28:42:0,1722.0
3296,Stanislav PETR,15/09/1944,TCH,3,Praha (TCH),25/05/1974,1068,30.0,1974,1970-1979,26-30,28:42:0,1722.0
3296,Ingo SENSBURG,27/01/1949,FRG,3,Lübeck (GER),11/09/1976,1068,28.0,1976,1970-1979,26-30,28:42:0,1722.0
3300,Jules RANDRIANARIVELO,28/11/1956,MAD,20,Moskva (URS),21/07/1979,1068,23.0,1979,1970-1979,20-25,28:42:00,1722.0
3300,Tony BATEMAN,07/11/1955,USA,2,"Knoxville, TN (USA)",09/04/1982,1068,27.0,1982,1980-1989,26-30,28:42:00,1722.0
3298,Edwin KIPLAGAT,19/02/1993,KEN,10,Nairobi (KEN),10/06/2017,1068,25.0,2017,2010-2019,20-25,28:42:0,1722.0
3303,Yuta KOYAMA,04/02/1994,JPN,10f2,Tajimi (JPN),09/10/2020,1068,26.0,2020,2020+,26-30,28:42:01,1722.01
3304,Renat ALTYNGUZHIN,19/09/1956,URS,5,Kiev (URS),26/07/1986,1068,30.0,1986,1980-1989,26-30,28:42:02,1722.02
3304,John Maina NJOROGE,10/05/1984,KEN,7,Yokohama (JPN),18/04/2010,1068,26.0,2010,2010-2019,26-30,28:42:02,1722.02
3306,Vasiliy TERENTYEV,11/02/1959,URS,3,Kharkov (URS),28/05/1983,1068,24.0,1983,1980-1989,20-25,28:42:03,1722.03
3306,Donnie FELLOWS,09/04/1979,USA,1,"Hillsdale, MI (USA)",25/04/2003,1068,24.0,2003,2000-2009,20-25,28:42:03,1722.03
